Basement,Full Baths,Other Improvements,Basement Finish,Sale Price,Type of Residence,Attic Type,Estimate (Building),Building Square Feet,property_city,Fireplaces
1.0,2.0,0.0,3.0,500000,2.0,3.0,462310.0,2293.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,290000,4.0,2.0,225110.0,1324.0,SCHAUMBURG,0.0
3.0,1.0,87.0,1.0,389000,4.0,3.0,215150.0,1075.0,SCHAUMBURG,0.0
3.0,1.0,87.0,1.0,389000,4.0,3.0,193510.0,1075.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,389000,2.0,3.0,280170.0,2323.0,SCHAUMBURG,1.0
,1.0,,,149500,,,72410.0,,SCHAUMBURG,
,1.0,,,149500,,,52130.0,,SCHAUMBURG,
1.0,2.0,0.0,1.0,327500,1.0,3.0,214710.0,1306.0,SCHAUMBURG,0.0
,1.0,,,160000,,,53970.0,,SCHAUMBURG,
,1.0,,,160000,,,53970.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,272500,4.0,3.0,223880.0,1319.0,SCHAUMBURG,1.0
3.0,2.0,18100.0,3.0,420000,2.0,3.0,342460.0,2487.0,SCHAUMBURG,1.0
,,,,175500,,,104710.0,,SCHAUMBURG,
,,,,175000,,,115990.0,,SCHAUMBURG,
1.0,1.0,0.0,3.0,180000,1.0,3.0,62300.0,1555.0,SCHAUMBURG,0.0
,,,,90000,,,40700.0,,SCHAUMBURG,
3.0,2.0,0.0,1.0,260000,4.0,2.0,194560.0,1084.0,SCHAUMBURG,1.0
,1.0,,,246000,,,131630.0,,SCHAUMBURG,
4.0,1.0,0.0,3.0,260000,1.0,3.0,151650.0,1258.0,SCHAUMBURG,0.0
,1.0,,,119500,,,67520.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,307900,1.0,2.0,189970.0,1144.0,SCHAUMBURG,1.0
4.0,1.0,0.0,3.0,177510,2.0,3.0,133480.0,1422.0,SCHAUMBURG,0.0
1.0,1.0,0.0,3.0,172900,2.0,3.0,125360.0,1250.0,SCHAUMBURG,1.0
,1.0,,,200000,,,141070.0,,SCHAUMBURG,
3.0,2.0,0.0,3.0,350000,1.0,3.0,264020.0,1888.0,SCHAUMBURG,0.0
1.0,2.0,0.0,3.0,305000,2.0,3.0,274660.0,1997.0,SCHAUMBURG,2.0
,1.0,,,159000,,,43620.0,,SCHAUMBURG,
,1.0,,,159000,,,69480.0,,SCHAUMBURG,
,1.0,,,104000,,,62090.0,,SCHAUMBURG,
,1.0,,,104000,,,60380.0,,SCHAUMBURG,
,1.0,,,104000,,,62090.0,,SCHAUMBURG,
,1.0,,,104000,,,62090.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,195000,1.0,3.0,147540.0,988.0,SCHAUMBURG,0.0
,1.0,,,214000,,,114680.0,,SCHAUMBURG,
3.0,1.0,222.0,3.0,285000,2.0,3.0,123410.0,1831.0,SCHAUMBURG,2.0
3.0,2.0,143.0,3.0,349000,2.0,3.0,292250.0,2514.0,SCHAUMBURG,2.0
2.0,2.0,0.0,3.0,267450,1.0,3.0,169770.0,1188.0,SCHAUMBURG,0.0
1.0,2.0,0.0,3.0,418000,2.0,3.0,335850.0,2678.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,370000,4.0,3.0,252370.0,1597.0,SCHAUMBURG,1.0
,1.0,,,180000,,,134830.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,274900,4.0,3.0,212770.0,1130.0,SCHAUMBURG,2.0
,1.0,,,171000,,,98820.0,,SCHAUMBURG,
,,,,155000,,,53450.0,,SCHAUMBURG,
,,,,155000,,,66570.0,,SCHAUMBURG,
,,,,155000,,,80530.0,,SCHAUMBURG,
,1.0,,,193000,,,133670.0,,SCHAUMBURG,
1.0,2.0,0.0,3.0,335000,2.0,3.0,293330.0,1997.0,SCHAUMBURG,2.0
1.0,2.0,0.0,3.0,318500,2.0,3.0,291620.0,1677.0,SCHAUMBURG,2.0
,1.0,,,128000,,,66570.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,327900,2.0,3.0,207130.0,1798.0,SCHAUMBURG,1.0
3.0,2.0,115.0,3.0,360000,2.0,3.0,273560.0,2154.0,SCHAUMBURG,1.0
1.0,1.0,0.0,1.0,290100,1.0,3.0,152930.0,962.0,SCHAUMBURG,1.0
1.0,1.0,0.0,1.0,290100,1.0,3.0,192640.0,962.0,SCHAUMBURG,1.0
1.0,1.0,0.0,1.0,290100,1.0,3.0,194320.0,962.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,265000,2.0,3.0,229320.0,1712.0,SCHAUMBURG,1.0
1.0,2.0,0.0,3.0,327899,2.0,3.0,175640.0,1646.0,SCHAUMBURG,1.0
,1.0,,,100000,,,61520.0,,SCHAUMBURG,
,1.0,,,100000,,,71230.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,280000,1.0,3.0,160970.0,1005.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,520000,2.0,3.0,380870.0,3286.0,SCHAUMBURG,1.0
,1.0,,,138000,,,65960.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,270000,1.0,3.0,175000.0,976.0,SCHAUMBURG,0.0
,1.0,,,251000,,,109490.0,,SCHAUMBURG,
,1.0,,,245000,,,179010.0,,SCHAUMBURG,
4.0,2.0,0.0,3.0,278500,2.0,3.0,220830.0,1693.0,SCHAUMBURG,1.0
,1.0,,,121000,,,61240.0,,SCHAUMBURG,
,1.0,,,163000,,,56540.0,,SCHAUMBURG,
,1.0,,,208000,,,75350.0,,SCHAUMBURG,
,1.0,,,208000,,,61050.0,,SCHAUMBURG,
,,,,165500,,,59280.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,359000,1.0,1.0,167850.0,1330.0,SCHAUMBURG,1.0
,1.0,,,171000,,,77010.0,,SCHAUMBURG,
,1.0,,,171000,,,60050.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,252000,4.0,2.0,195900.0,1097.0,SCHAUMBURG,0.0
,1.0,,,117500,,,63240.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,370000,1.0,2.0,158010.0,976.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,370000,1.0,2.0,94750.0,976.0,SCHAUMBURG,0.0
1.0,2.0,0.0,3.0,430000,2.0,3.0,288690.0,2493.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,335000,4.0,3.0,269020.0,1994.0,SCHAUMBURG,1.0
,1.0,,,92000,,,61520.0,,SCHAUMBURG,
3.0,2.0,0.0,1.0,304900,2.0,3.0,251800.0,2008.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,304900,2.0,3.0,267180.0,2008.0,SCHAUMBURG,1.0
3.0,2.0,0.0,1.0,346500,2.0,3.0,251800.0,2008.0,SCHAUMBURG,2.0
3.0,2.0,0.0,1.0,346500,2.0,3.0,267180.0,2008.0,SCHAUMBURG,2.0
2.0,1.0,0.0,3.0,136500,2.0,3.0,125250.0,1250.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,175000,1.0,1.0,124200.0,1380.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,230100,1.0,1.0,196520.0,1896.0,SCHAUMBURG,1.0
,,,,160000,,,54220.0,,SCHAUMBURG,
,,,,160000,,,39090.0,,SCHAUMBURG,
3.0,2.0,0.0,3.0,366400,2.0,3.0,277730.0,2350.0,SCHAUMBURG,1.0
3.0,1.0,0.0,1.0,287000,4.0,2.0,167360.0,1084.0,SCHAUMBURG,0.0
3.0,1.0,0.0,1.0,287000,4.0,2.0,182110.0,1084.0,SCHAUMBURG,0.0
3.0,1.0,0.0,1.0,210500,4.0,3.0,203790.0,1175.0,SCHAUMBURG,1.0
,1.0,,,335000,,,194340.0,,SCHAUMBURG,
,1.0,,,335000,,,192520.0,,SCHAUMBURG,
,1.0,,,165000,,,101560.0,,SCHAUMBURG,
,1.0,,,165000,,,101560.0,,SCHAUMBURG,
1.0,2.0,184.0,1.0,470000,2.0,3.0,310250.0,2482.0,SCHAUMBURG,2.0
,1.0,,,141111,,,38110.0,,SCHAUMBURG,
,1.0,,,166000,,,31000.0,,SCHAUMBURG,
,1.0,,,132500,,,84520.0,,SCHAUMBURG,
4.0,1.0,0.0,3.0,183000,2.0,3.0,158710.0,1422.0,SCHAUMBURG,1.0
