Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
full,301000,248840.0,2264.0,0,Medium-Large,None,Unfinished,one_story,2
not_full,336000,237190.0,1734.0,0,Medium,None,Formal rec room,one_story,2
not_full,255000,171290.0,984.0,0,Small,None,Formal rec room,one_story,1
not_full,255000,171290.0,984.0,0,Small,None,Formal rec room,one_story,1
not_full,164500,112650.0,1202.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,164500,137510.0,1202.0,1+,Small-Medium,None,Unfinished,one_story,1
full,360000,235510.0,1730.0,1+,Medium,None,Unfinished,one_story,2
full,309000,268490.0,1536.0,1+,Medium,None,Formal rec room,one_story,2
full,163000,99100.0,1034.0,0,Small,None,Unfinished,one_story,1
full,163000,99100.0,1034.0,0,Small,None,Unfinished,one_story,1
full,163000,117010.0,1034.0,0,Small,None,Unfinished,one_story,1
full,179900,99750.0,1686.0,0,Medium,None,Unfinished,over_one_story,1
full,179900,130960.0,1686.0,0,Medium,None,Unfinished,over_one_story,1
full,207500,144780.0,1490.0,0,Medium,Partial,Unfinished,one_story,2
full,207500,144780.0,1490.0,0,Medium,Partial,Unfinished,one_story,2
not_full,310000,166180.0,1186.0,0,Small,None,Formal rec room,one_story,2
not_full,310000,189050.0,1186.0,0,Small,None,Formal rec room,one_story,2
not_full,295000,226170.0,1246.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,2
not_full,295000,206540.0,1246.0,1+,Small-Medium,Partial,Formal rec room,over_one_story,2
not_full,308000,225350.0,1692.0,1+,Medium,None,Unfinished,one_story,3+
not_full,308000,190040.0,1692.0,1+,Medium,None,Unfinished,one_story,3+
not_full,308000,196270.0,1692.0,1+,Medium,None,Unfinished,one_story,3+
not_full,270000,197390.0,1186.0,1+,Small,Partial,Formal rec room,over_one_story,2
full,146000,117890.0,1034.0,0,Small,None,Unfinished,one_story,1
full,146000,117890.0,1034.0,0,Small,None,Unfinished,one_story,1
not_full,285800,223330.0,1774.0,0,Medium,None,Unfinished,one_story,1
not_full,295000,219130.0,1114.0,1+,Small,None,Formal rec room,over_one_story,1
not_full,295000,159750.0,1114.0,1+,Small,None,Formal rec room,over_one_story,1
full,260000,212770.0,1629.0,0,Medium,None,Unfinished,one_story,2
full,260000,212770.0,1629.0,0,Medium,None,Unfinished,one_story,2
not_full,310000,188350.0,1186.0,1+,Small,Partial,Formal rec room,one_story,1
not_full,310000,165230.0,1186.0,1+,Small,Partial,Formal rec room,one_story,1
not_full,310000,165230.0,1186.0,1+,Small,Partial,Formal rec room,one_story,1
not_full,243000,169980.0,1075.0,0,Small,None,Formal rec room,over_one_story,1
not_full,243000,189440.0,1075.0,0,Small,None,Formal rec room,over_one_story,1
full,427500,355070.0,2493.0,1+,Large,None,Unfinished,one_story,2
full,289000,155820.0,1305.0,1+,Small-Medium,None,Unfinished,one_story,2
full,350000,224330.0,1620.0,0,Medium,None,Unfinished,one_story,2
full,350000,196340.0,1620.0,0,Medium,None,Unfinished,one_story,2
full,104600,138660.0,1350.0,1+,Small-Medium,None,Unfinished,one_story,1
full,130000,130620.0,1689.0,0,Medium,None,Unfinished,over_one_story,1
full,368000,263540.0,1948.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,430000,299970.0,2424.0,1+,Large,None,Formal rec room,one_story,2
full,269000,183050.0,1386.0,1+,Small-Medium,Partial,Unfinished,one_story,1
not_full,220000,172350.0,1654.0,0,Medium,None,Unfinished,one_story,2
full,287000,225510.0,1925.0,1+,Medium-Large,None,Formal rec room,one_story,1
full,138000,128360.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,225500,176870.0,1767.0,0,Medium,None,Unfinished,one_story,2
full,225000,160230.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,209500,164200.0,1160.0,0,Small,None,Unfinished,one_story,1
not_full,175000,206040.0,1496.0,1+,Medium,None,Unfinished,one_story,1
not_full,320000,241210.0,1900.0,1+,Medium-Large,None,Unfinished,one_story,2
full,170000,131340.0,1065.0,1+,Small,None,Unfinished,one_story,2
full,275900,127500.0,1212.0,0,Small-Medium,None,Unfinished,one_story,2
full,275900,180780.0,1212.0,0,Small-Medium,None,Unfinished,one_story,2
not_full,353000,82470.0,1559.0,0,Medium,None,Formal rec room,over_one_story,1
not_full,353000,127080.0,1559.0,0,Medium,None,Formal rec room,over_one_story,1
full,176000,125970.0,1065.0,0,Small,None,Unfinished,one_story,2
not_full,333000,260560.0,1448.0,1+,Medium,None,Formal rec room,over_one_story,1
full,399900,301060.0,2855.0,1+,Large,None,Unfinished,one_story,3+
full,399900,245530.0,2855.0,1+,Large,None,Unfinished,one_story,3+
not_full,176000,138930.0,1300.0,1+,Small-Medium,None,Formal rec room,one_story,1
full,273500,207870.0,1485.0,1+,Medium,None,Unfinished,one_story,2
not_full,149900,136090.0,1300.0,1+,Small-Medium,Full,Formal rec room,one_story,1
full,375000,268070.0,2224.0,1+,Medium-Large,None,Unfinished,one_story,2
full,375000,197710.0,2224.0,1+,Medium-Large,None,Unfinished,one_story,2
full,247500,203730.0,1454.0,1+,Medium,None,Unfinished,one_story,2
full,247500,224640.0,1454.0,1+,Medium,None,Unfinished,one_story,2
full,175000,134290.0,1023.0,0,Small,None,Unfinished,one_story,1
full,300000,212730.0,1845.0,0,Medium-Large,Full,Unfinished,over_one_story,1
not_full,168000,139150.0,1116.0,1+,Small,None,Unfinished,one_story,1
full,575000,350200.0,3251.0,1+,Large,None,Unfinished,one_story,2
full,190000,115360.0,1176.0,0,Small,None,Unfinished,one_story,1
full,292500,178250.0,1295.0,0,Small-Medium,None,Unfinished,one_story,1
not_full,420000,342830.0,2484.0,1+,Large,None,Formal rec room,one_story,2
full,369000,321780.0,2712.0,1+,Large,Partial,Unfinished,one_story,3+
