property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
ARLINGTON HEIGHTS,24300,218640,1,5,3,1,0,1,1161,275000,1,3,58,1,2019,1,3,1,2,NA,2,30,1,5,3,0,0,2,3,0,NA
ARLINGTON HEIGHTS,27000,217690,1,5,3,1,0,1,1161,275000,1,3,58,1,2019,1,3,1,2,NA,2,30,1,5,3,0,0,2,3,0,NA
GLENVIEW,64350,205130,1,6,2,1,0,1,1498,250000,1,3,74,1,2019,4,3,1,2,NA,2,11,1,5,3,0,0,2,3,0,NA
NORTHBROOK,100610,771450,2,10,4,1,1,1,3486,1200000,3,5,10,1,2018,1,1,1,2,NA,2,72,4,5,3,NA,1,2,3,0,0
NORTHBROOK,140000,115300,2,13,6,1,1,2,5900,2380000,5,7,4,1,2019,1,1,0,2,NA,2,270,3,5,3,0,1,2,3,0,NA
NORTHBROOK,165000,814730,2,13,6,1,1,2,5900,2380000,5,7,4,1,2019,1,1,0,2,NA,2,270,3,5,3,0,1,2,3,0,NA
PALATINE,39000,135860,1,5,3,1,0,0,952,215000,1,0,89,0,2018,1,1,0,2,NA,2,60,1,5,2,3,0,2,3,0,0
PALATINE,42250,143180,1,5,3,1,0,0,952,215000,1,0,89,0,2018,1,1,0,2,NA,2,60,1,5,2,3,0,2,3,0,0
SKOKIE,62050,216390,1,5,3,1,1,1,1279,335000,1,3,64,1,2019,3,3,0,2,NA,2,51,1,5,3,0,0,2,3,0,NA
ARLINGTON HEIGHTS,2510,98490,NA,NA,NA,NA,NA,NA,NA,165000,1,NA,49,NA,2018,NA,NA,1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,56510,260900,2,7,4,1,1,0,1975,400000,2,3,38,1,2018,3,3,0,2,NA,2,12,1,5,3,NA,1,2,1,0,0
DES PLAINES,13670,65830,NA,NA,NA,NA,NA,NA,NA,152500,1,NA,48,NA,2018,NA,NA,0,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,46200,300610,4,7,4,1,1,1,1833,430000,2,3,51,1,2018,3,1,0,2,NA,2,31,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,25530,98820,NA,NA,NA,NA,NA,NA,NA,165000,1,NA,31,NA,2018,NA,NA,1,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,25530,98820,NA,NA,NA,NA,NA,NA,NA,165000,1,NA,31,NA,2018,NA,NA,1,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,23360,86620,NA,NA,NA,NA,NA,NA,NA,122000,NA,NA,41,NA,2019,NA,NA,1,NA,NA,NA,10,NA,NA,NA,0,NA,NA,3,NA,NA
PALATINE,2000,147830,NA,NA,NA,NA,NA,NA,NA,180000,1,NA,7,NA,2018,NA,NA,0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,0
EVANSTON,10750,154280,NA,NA,NA,NA,NA,NA,NA,230000,1,NA,94,NA,2018,NA,NA,0,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,3,NA,0
EVANSTON,12900,177850,NA,NA,NA,NA,NA,NA,NA,230000,1,NA,94,NA,2018,NA,NA,0,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,3,NA,0
DES PLAINES,2020,129050,NA,NA,NA,NA,NA,NA,NA,208000,NA,NA,12,NA,2019,NA,NA,1,NA,NA,NA,180,NA,NA,NA,0,NA,NA,3,NA,NA
GLENVIEW,94060,641100,2,8,4,2,1,2,2838,965000,3,3,13,1,2019,1,1,0,2,NA,2,132,1,5,3,0,2,2,3,0,NA
DES PLAINES,69810,202040,4,5,3,1,0,2,1130,320000,1,3,46,1,2019,3,1,0,2,NA,2,130,1,5,3,0,0,2,3,0,NA
DES PLAINES,67560,191090,4,5,3,1,0,2,1130,320000,1,3,46,1,2019,3,1,0,2,NA,2,130,1,5,3,0,0,2,3,0,NA
SKOKIE,14910,100790,NA,NA,NA,NA,NA,NA,NA,170100,NA,NA,40,NA,2019,NA,NA,1,NA,NA,NA,52,NA,NA,NA,0,NA,NA,3,NA,NA
PALATINE,262260,144040,1,6,3,1,1,0,1588,326000,1,3,61,1,2018,3,1,0,2,NA,2,140,1,5,3,NA,2,2,3,0,1
GLENVIEW,138000,854410,5,8,4,1,1,1,3535,1150000,2,5,16,1,2018,1,3,0,2,NA,2,100,4,5,2,1,2,2,3,0,0
